id,nome,telefone,tipo_telefone,leva_origem,instagram,email,status_email,canal_planejado,enviado,data_envio,resultado
1,"Estúdio Green - Aulas de música",+55 48 99971-5393,celular,L1,,,"pendente","email","nao",,
2,"Fazendo Arte Escola de Música",+55 48 99200-1916,celular,L1,,,"pendente","email","nao",,
3,"Escola de Música Clave de Sol",+55 48 98445-9027,celular,L1,,,"pendente","email","nao",,
4,"G.Borges Escola de Mùsica",+55 48 99115-6118,celular,L1,,,"pendente","email","nao",,
5,"Aulas de Guitarra e Violão Wslley Risso",+55 48 99998-5084,celular,L1,,,"pendente","email","nao",,
6,"TERENCE MARTINELLI",+55 48 99931-1850,celular,L1,,,"pendente","email","nao",,
7,"GB ACADEMIA DE MÚSICA",+55 11 96336-5793,celular,L2,,,"pendente","email","nao",,
8,"Soul Rec",+55 11 93029-9467,celular,L2,,,"pendente","email","nao",,
9,"Performance Escola de Música",+55 11 95137-6020,celular,L2,,,"pendente","email","nao",,
10,"Escola de Música Compasso Musical",+55 11 95684-5385,celular,L2,,,"pendente","email","nao",,
11,"EECM Cursos musicais",+55 11 99489-7455,celular,L2,,,"pendente","email","nao",,
12,"Escola de música IMDS",+55 11 99913-4898,celular,L2,,,"pendente","email","nao",,
13,"Centro Cultural Ad Libitum",+55 11 99796-0910,celular,L2,,,"pendente","email","nao",,
14,"Academia Musical - Do Quarto aos Palcos",+55 11 99829-7681,celular,L2,,,"pendente","email","nao",,
15,"Soul Academy Of Music",+55 11 99193-9877,celular,L2,,,"pendente","email","nao",,
16,"Scala Centro Musical",+55 11 96338-7632,celular,L2,,,"pendente","email","nao",,
17,"G.Borges Escola de Música",+55 11 97892-3853,celular,L2,,,"pendente","email","nao",,
18,"Conservatório Musical Mozart",+55 11 95226-2195,celular,L2,,,"pendente","email","nao",,
19,"Escolas de Música - Jeziel Lee",+55 11 93486-8471,celular,L2,,,"pendente","email","nao",,
20,"Escola de Música Carlos Aleixo",+55 11 99691-5000,celular,L2,,,"pendente","email","nao",,
21,"Espaço Musical Mike Souza",+55 11 96016-5444,celular,L2,,,"pendente","email","nao",,
22,"Escola Fábrica da Música",+55 11 96764-4363,celular,L2,,,"pendente","email","nao",,
23,"A Clave Escola de Artes Cristã",+55 11 92165-4107,celular,L3,,,"pendente","email","nao",,
24,"Conservatório Musical Franz Liszt",+55 11 94884-3836,celular,L3,,,"pendente","email","nao",,
25,"Escola de Música Som de Cristal",+55 11 98010-2082,celular,L3,,,"pendente","email","nao",,
26,"Made In Brazil Escola de Música em São Mateus - ZL/SP",+55 11 97033-8685,celular,L4,,,"pendente","email","nao",,
27,"AF MUSIC - AULAS DE GUITARRA E VIOLÃO",+55 11 97819-5881,celular,L4,,,"pendente","email","nao",,
