"id","nome","telefone","tipo_telefone","bairro","categoria","instagram","email","fonte_email","status_email","data_coleta"
"1","O Acústico - Loja de Instrumentos, Escola de Música & Cafeteria","+55 11 3477-7819","fixo","Carandiru","Escola de Música","https://instagram.com/espacooacustico","atendimento@oacustico.com.br","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"2","MUSICANDO - Escola de Musica","+55 11 2955-5215","fixo","Vila Maria","Escola de Música","","designer.marcoskita@gmail.com","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"3","Instituto Baccarelli","+55 11 3506-4646","fixo","Cidade Nova Heliópolis","Escola de Música","https://www.instagram.com/ceu_saomiguel;https://www.instagram.com/ceuarthuralvim;https://www.instagram.com/ceubarrobranco;https://www.instagram.com/ceucarraotatuape;https://www.instagram.com/ceufreguesiadoo;https://www.instagram.com/ceuparquedocarmo;https://www.instagram.com/ceuparquenovomundo;https://www.instagram.com/ceupinheirinho;https://www.instagram.com/ceusaopedrojosebonifacio;https://www.instagram.com/ceutaipas;https://www.instagram.com/ceutremembe;https://www.instagram.com/ceuvilaprudentevilaalpina;https://www.instagram.com/instituto_baccarelli","contato@baccarelli.org.br;doacao@baccarelli.org.br;contato@institutobaccarelli.org.br","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"4","Music Center Núcleo de Ensino Musical","+55 11 3889-9084","fixo","Jardins","Escola de Música","https://www.instagram.com/musiccenternucleodeensino","MC@MUSIC-CENTER.ART.BR","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"5","Instituto Musical IMKS Unidade Jardins","+55 11 96053-1077","celular","Jardim Paulista","Escola de Música","https://www.instagram.com/institutomusicalimks","contato.imks@gmail.com","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"6","Musical Easy - Escola de Música no Tatuapé","+55 11 2688-9353","fixo","Tatuapé","Escola de Música","https://instagram.com/musicaleasy_;https://instagram.com/maxbaraogtp;https://www.instagram.com/musicaleasy_","contact@mysite.com;musicaleasy@gmail.com","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"7","Musiflex - Parque Mandaqui","+55 11 2367-8110","fixo","Parque Mandaqui","Escola de Música","https://www.instagram.com/musiflex.oficial","parquemandaqui@musiflex.com.br","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"8","School of Rock Morumbi","+55 11 91583-8064","celular","Vila Progredior","Escola de Música","https://instagram.com/schoolofrock.morumbi;https://www.instagram.com/schoolofrock.brasil","morumbi@schoolofrock.com","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"9","Toca Paulista de Artes","+55 11 3628-8622","fixo","Tatuapé","Escola de Música","http://instagram.com/tocapaulista;https://www.instagram.com/tocapaulista","contato.tocapaulista@gmail.com","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
"10","Ária Musical - Escola de Música","+55 11 99897-0884","celular","Vila da Saúde","Escola de Música","","curso@ariamusical.com.br","apify-google-maps-contact-enrichment","encontrado","2026-09-09"
