nome,telefone,tipo_telefone,bairro,categoria,nota,avaliacoes,fotos,place_id
Made In Brazil Escola de Música em São Mateus - ZL/SP,+55 11 97033-8685,celular,Cidade São Mateus,Escola de Música,5,192,90,ChIJM6pr2CdpzpQRsT3I6ppyTJY
AFONSOOM ESTUDIO 1,+55 11 97354-8067,celular,Terceira Divisão de Interlagos,Estúdio de gravação,4.5,181,157,ChIJ5R1oYqFPzpQRbh3HMu-flVg
Studio 151,+55 11 97207-6766,celular,Vila Olímpia,Estúdio de ensaio,4.6,153,44,ChIJxTuSJqxQzpQRweEEwWkpVWI
Parisi Instrumentos musicais,+55 11 98116-1107,celular,Santana,Loja de Instrumentos Musicais,4.7,150,15,ChIJDwDb-C72zpQR4pKAMAco9D0
Studio Nvs,+55 11 94590-7575,celular,Vila Formosa,Estúdio de gravação,4.8,112,179,ChIJrZgWfcBdzpQRGyTrCoEEFUU
Estúdio Preset Pub,+55 11 98269-0004,celular,Santo Amaro,Estúdio de gravação,4.6,98,29,ChIJ9fEia1dQzpQRNswlUOx7VBs
Amaral Tv,+55 11 99750-1201,celular,Vila Nhocuné,Estúdio de gravação,4.4,94,279,ChIJGwP1gC1nzpQROulenD_qcWQ
Digué Lima Estúdio Vocal,+55 11 95559-6292,celular,Vila Mariana,Instrutor(a) de voz,5,87,16,ChIJLyJ9erpbzpQRBaz-uU7qHvk
Studio Vip,+55 11 94451-2213,celular,Aclimação,Estúdio de gravação,4.8,75,38,ChIJ2S8ahHVZzpQRQGoKmE3piJg
Aulas de Violão e Guitarra - Renato Oliveira,+55 11 98381-1913,celular,Perdizes,Professor de violão,5,74,9,ChIJ39EEFj9XzpQRWkgQUeBvSc4
Tucci Guillen Aulas de Guitarra e Violão,+55 11 94539-4152,celular,Ipiranga,Professor de música,5,70,11,ChIJX7fRGM1bzpQRdGYT7hY9TZk
Luthieria Gessebass-regulagem-manutenção em geral-acessórios em geral,+55 11 97050-6227,celular,Vila Buenos Aires,Conserto de instrumentos musicais,4.8,68,20,ChIJg0XzeMplzpQR_hX6j9QU0Hg
Musical -Tec Oficina de Instrumentos Musicais,+55 11 99902-6072,celular,Vila Salete,Loja de Instrumentos Musicais,4.9,64,5156,ChIJD6iHCzFezpQR7T8FODvHvQ8
Estúdio 438 - Estúdio de Produção Musical,+55 11 96744-3065,celular,Pompeia,Estúdio de gravação,4.9,61,39,ChIJpbIEpL_5zpQRuzXL1s7DKPU
