"Nome","WhatsApp","LinkWhatsApp","Status","Bairro","Categoria","Avaliacao","NumAvaliacoes"
"Studio Rock Together","+55 11 98145-6315","https://wa.me/5511981456315","sem site","Santana","Estudio de ensaio","4,6","874"
"Estudio Sonido - Ensaios","+55 11 91903-5136","https://wa.me/5511919035136","sem site","Sumarezinho","Estudio de ensaio","4,7","353"
"Studio Black Box","+55 11 94911-5668","https://wa.me/5511949115668","sem site","Vila Mascote","Estudio de ensaio","4,8","157"
"Bufalo Estudio","+55 11 99916-1755","https://wa.me/5511999161755","sem site","Santana","Estudio de ensaio","4,8","178"
"Estudio Lanners","+55 11 98311-8748","https://wa.me/5511983118748","sem site","Vila Industrial","Estudio de ensaio","4,8","126"
"Ronaldo Cotta Estudios","+55 11 98604-4833","https://wa.me/5511986044833","sem site","Vila Carrao","Estudio de gravacao","4,9","113"
"A Clave Escola de Artes Crista","+55 11 92165-4107","https://wa.me/5511921654107","sem site","Vila Gea","Escola de musica","5,0","97"
"Escola de Musica Compasso Musical","+55 11 95684-5385","https://wa.me/5511956845385","sem site","Itaquera","Escola de musica","5,0","86"
"Estudio do Batata","+55 11 99242-3294","https://wa.me/5511992423294","sem site","Vila Clementino","Estudio de ensaio","4,9","55"
"Estudio SP Audio","+55 11 95313-4851","https://wa.me/5511953134851","sem site","Parque Guarani","Estudio de gravacao","4,7","50"
"Academia Musical - Do Quarto aos Palcos","+55 11 99829-7681","https://wa.me/5511998297681","sem site","Vila Re","Escola de musica","5,0","39"
"Estudio Ensaio Vintage","+55 11 99533-5533","https://wa.me/5511995335533","sem site","Mooca","Estudio de ensaio","4,9","32"
"Sound Black","+55 11 97952-5084","https://wa.me/5511979525084","sem site","Jardim Avenida","Estudio de gravacao","4,9","32"
"Live Hit Producoes","+55 11 97971-2120","https://wa.me/5511979712120","sem site","Mooca","Producao musical","5,0","31"
"Atmosphera Studio","+55 11 99614-2916","https://wa.me/5511996142916","sem site","Vila Carrao","Estudio de gravacao","4,9","27"
"Estudio LP Audio - Ensaios e Gravacoes","+55 11 99624-6671","https://wa.me/5511996246671","sem site","Vila Jaragua","Estudio de ensaio","5,0","26"
"Lumen Studios - Ensaios","+55 11 99385-9590","https://wa.me/5511993859590","sem site","Vila Mariana","Estudio de ensaio","4,3","34"
"Estudio Cardeal - Lacerda Franco","+55 11 95284-2031","https://wa.me/5511952842031","sem site","Pinheiros","Estudio de ensaio","4,8","59"
"Gravasampa","+55 11 94004-4298","https://wa.me/5511940044298","sem site","Casa Verde","Estudio de gravacao","4,9","15"
"Z7BusicProd","+55 11 98473-9113","https://wa.me/5511984739113","sem site","Vila Madalena","Producao musical","4,7","13"
"Nebulosa Selo","+55 11 93431-1713","https://wa.me/5511934311713","sem site","Capao Redondo","Selo / estudio","5,0","11"
"Prof Emerson de Paula","+55 11 94708-4618","https://wa.me/5511947084618","sem site","Vila Brasilandia","Aulas de musica","5,0","10"
"Conservatorio Musical Franz Liszt","+55 11 94884-3836","https://wa.me/5511948843836","sem site","Casa Verde","Escola de musica","4,3","7"
"Estudio SP Producoes","+55 11 95941-7031","https://wa.me/5511959417031","sem site","Jardim Guaruja","Estudio de gravacao","5,0","7"
"Relow Studio","+55 11 98478-9113","https://wa.me/5511984789113","sem site","Jardim Capao Redondo","Estudio de gravacao","5,0","7"
"ZOG Studio de Ensaio e Gravacao","+55 11 97561-5553","https://wa.me/5511975615553","sem site","Vila Madalena","Estudio de ensaio","4,8","6"
"Studio Quinas Producoes","+55 11 94896-2829","https://wa.me/5511948962829","sem site","Vila Perus","Producao musical","4,5","6"
"JF Studio Musical","+55 11 94703-2166","https://wa.me/5511947032166","sem site","Jabaquara","Estudio musical","4,6","5"
"Studio Gospel Solucao Music","+55 11 91476-6186","https://wa.me/5511914766186","sem site","Vila Rosaria","Estudio de gravacao","5,0","5"
"BlackCubes Studios","+55 11 99589-6677","https://wa.me/5511995896677","sem site","Vila Moinho Velho","Estudio de gravacao","3,8","5"
"Aruanda Studios","+55 11 99442-3662","https://wa.me/5511994423662","sem site","Ipiranga","Estudio de gravacao","5,0","4"
"Estudio Viela 7","+55 11 99463-9221","https://wa.me/5511994639221","sem site","Heliopolis","Estudio de gravacao","5,0","3"
"Agape Music","+55 11 98573-8317","https://wa.me/5511985738317","sem site","Santana","Estudio de musica","5,0","2"
"Escola de Musica Som de Cristal","+55 11 98010-2082","https://wa.me/5511980102082","sem site","Jardim Artur Alvim","Escola de musica","4,5","2"
"MM Studio","+55 11 98697-6064","https://wa.me/5511986976064","sem site","Jardim Campo Limpo","Estudio de gravacao","5,0","1"
