"Nome","WhatsApp","LinkWhatsApp","Status","PerfilGoogle","Endereco","Categoria","Avaliacao","NumAvaliacoes","NumFotos"
"Estúdio Ao Vivo","+55 11 99450-5044","https://wa.me/5511994505044","sem site","https://www.google.com/maps/search/?api=1&query=Est%C3%BAdio%20Ao%20Vivo&query_place_id=ChIJrScBB-hQzpQRQbii0GZ8ipA","R. Despraiado, 28 - Vila Sao Francisco (Zona Sul), São Paulo - SP, 04711-060, Brasil","Estúdio de gravação","4,5","287","270"
"Estúdio BG Produções","+55 11 99235-3953","https://wa.me/5511992353953","sem site","https://www.google.com/maps/search/?api=1&query=Est%C3%BAdio%20BG%20Produ%C3%A7%C3%B5es&query_place_id=ChIJzUc8vgZRzpQRBmb3lgUOjuM","Estr. de Itapecerica, 449 - Sl 8 - Vila das Belezas, São Paulo - SP, 05835-001, Brasil","Estúdio de gravação","4,9","200","30"
"Búfalo Estúdio","+55 11 99916-1755","https://wa.me/5511999161755","sem site","https://www.google.com/maps/search/?api=1&query=B%C3%BAfalo%20Est%C3%BAdio&query_place_id=ChIJxQS500z3zpQRANTIon23Pek","R. Ezequiel Freire, 509 - Santana, São Paulo - SP, 02034-002, Brasil","Estúdio de gravação","4,8","178","50"
"GB ACADEMIA DE MÚSICA","+55 11 96336-5793","https://wa.me/5511963365793","sem site","https://www.google.com/maps/search/?api=1&query=GB%20ACADEMIA%20DE%20M%C3%9ASICA&query_place_id=ChIJ_eXS5EVnzpQR6uzrgDzXXf0","Rua: Guirá 327 A.E CARVALHO, São Paulo - SP, 08223-100, Brasil","Escola de Música","4,9","142","76"
"Estúdio Br378","+55 11 98541-5972","https://wa.me/5511985415972","sem site","https://www.google.com/maps/search/?api=1&query=Est%C3%BAdio%20Br378&query_place_id=ChIJd9p9VvJjzpQRHV7pwZgferM","R. Alfredo Clemente Filho, 378 - Vila Curuçá Velha, São Paulo - SP, 08030-480, Brasil","Estúdio de gravação","4,8","125","21"
"RONALDO COTTA ESTÚDIOS","+55 11 98604-4833","https://wa.me/5511986044833","sem site","https://www.google.com/maps/search/?api=1&query=RONALDO%20COTTA%20EST%C3%9ADIOS&query_place_id=ChIJffoE1ndezpQROx_9ZYRVd3U","R. Lutécia, 1255 - Vila Carrão, São Paulo - SP, 03423-000, Brasil","Estúdio de gravação","4,9","112","39"
"Soul Rec","+55 11 93029-9467","https://wa.me/5511930299467","sem site","https://www.google.com/maps/search/?api=1&query=Soul%20Rec&query_place_id=ChIJReKBLvFTzpQRYH4kNST6His","R. Antônio José Viveira, 55 - Jardim Sandra, São Paulo - SP, 05860-030, Brasil","Escola de Música","5","111","11"
"Performance Escola de Música","+55 11 95137-6020","https://wa.me/5511951376020","sem site","https://www.google.com/maps/search/?api=1&query=Performance%20Escola%20de%20M%C3%BAsica&query_place_id=ChIJMRIbCyhfzpQRfkPu9JQPZMs","R. 29 de Outubro, 487 - Vila Matilde, São Paulo - SP, 03510-000, Brasil","Escola de Música","5","102","4"
"Escola de Música Compasso Musical - Em Itaquera - Matrículas Abertas","+55 11 95684-5385","https://wa.me/5511956845385","sem site","https://www.google.com/maps/search/?api=1&query=Escola%20de%20M%C3%BAsica%20Compasso%20Musical%20-%20Em%20Itaquera%20-%20Matr%C3%ADculas%20Abertas&query_place_id=ChIJufFnabtmzpQRkBsVT3Gf7tM","mts. do 32º DP - R. Sabbado D'Ângelo, n° 273 - Estamos a 150 - Itaquera, São Paulo - SP, 08210-790, Brasil","Escola de Música","5","86","16"
"Estúdio Indústria","+55 11 98881-8393","https://wa.me/5511988818393","sem site","https://www.google.com/maps/search/?api=1&query=Est%C3%BAdio%20Ind%C3%BAstria&query_place_id=ChIJc-z1HPFezpQRG6xNxarEB2M","R. Garça, 70 - Tatuapé, São Paulo - SP, 03071-020, Brasil","Estúdio de gravação","4,5","81","11"
"EECM Cursos musicais e Loja de Conveniência! Escola Espaço da Cultura Musical desde 1990","+55 11 99489-7455","https://wa.me/5511994897455","sem site","https://www.google.com/maps/search/?api=1&query=EECM%20Cursos%20musicais%20e%20Loja%20de%20Conveni%C3%AAncia!%20Escola%20Espa%C3%A7o%20da%20Cultura%20Musical%20desde%201990&query_place_id=ChIJkcui6VZYzpQRqP1CX-_ISCk","Praca Pedro Lessa, 110 - Lj 211 - Centro Histórico de São Paulo, São Paulo - SP, 13040-011, Brasil","Escola de Música","5","69","21"
"Estúdio CARDEAL - Lacerda Franco","+55 11 95284-2031","https://wa.me/5511952842031","sem site","https://www.google.com/maps/search/?api=1&query=Est%C3%BAdio%20CARDEAL%20-%20Lacerda%20Franco&query_place_id=ChIJyY4JuUBXzpQRJvhw8BaedYU","R. Dep. Lacerda Franco, 25 - Pinheiros, São Paulo - SP, 05406-150, Brasil","Estúdio de gravação","4,8","59","65"
"Estudio Bertolini","+55 11 99993-4400","https://wa.me/5511999934400","sem site","https://www.google.com/maps/search/?api=1&query=Estudio%20Bertolini&query_place_id=ChIJD538lDn2zpQRTlywlFEw2BI","R. Outeiro da Cruz, 390 - Jardim Sao Paulo(Zona Norte), São Paulo - SP, 02041-040, Brasil","Estúdio de gravação","4,8","55","25"
"Escola de música IMDS","+55 11 99913-4898","https://wa.me/5511999134898","sem site","https://www.google.com/maps/search/?api=1&query=Escola%20de%20m%C3%BAsica%20IMDS&query_place_id=ChIJm62B-2dXzpQRnTkUTPA_O8s","R. Dr. Antônio Carlos Camargo Ferrari, 59 - Jardim Monte Kemel, São Paulo - SP, 05635-060, Brasil","Escola de Música","5","54","27"
"Estúdio Gelatina Trêmula","+55 11 99517-8996","https://wa.me/5511995178996","sem site","https://www.google.com/maps/search/?api=1&query=Est%C3%BAdio%20Gelatina%20Tr%C3%AAmula&query_place_id=ChIJXbNnI2pezpQRaQAeHkHCxwI","R. Monsenhor Francisco de Paula, 311 A - Vila Aricanduva, São Paulo - SP, 03504-000, Brasil","Estúdio de gravação","5","51","8"
"Estudio SP Audio","+55 11 95313-4851","https://wa.me/5511953134851","sem site","https://www.google.com/maps/search/?api=1&query=Estudio%20SP%20Audio&query_place_id=ChIJNbsE9UhhzpQRtSJI-YzK56o","R. Tenente-Coronel Luiz Grant, 53 - Parque Guarani, São Paulo - SP, 08235-340, Brasil","Estúdio de gravação","4,7","50","51"
"Zoid Estúdio","+55 11 99559-0074","https://wa.me/5511995590074","sem site","https://www.google.com/maps/search/?api=1&query=Zoid%20Est%C3%BAdio&query_place_id=ChIJgXNNxxdZzpQRjnBVshVLO50","R. Líbero Badaró, 293 - CJ 7C - Centro Histórico de São Paulo, São Paulo - SP, 01008-000, Brasil","Estúdio de gravação","4,9","43","14"
"Centro Cultural Ad Libitum - Escola de Música, Teatro e Dança","+55 11 99796-0910","https://wa.me/5511997960910","sem site","https://www.google.com/maps/search/?api=1&query=Centro%20Cultural%20Ad%20Libitum%20-%20Escola%20de%20M%C3%BAsica%2C%20Teatro%20e%20Dan%C3%A7a&query_place_id=ChIJM4X_PL5ezpQRV4McqR2yLjI","R. Torrinha, 19 - Tatuapé, São Paulo - SP, 03332-010, Brasil","Escola de Música","4,7","43","91"
"Aula de musica Gmusic Produções e eventos","+55 11 97690-5053","https://wa.me/5511976905053","sem site","https://www.google.com/maps/search/?api=1&query=Aula%20de%20musica%20Gmusic%20Produ%C3%A7%C3%B5es%20e%20eventos&query_place_id=ChIJ-7hrUUBPzpQRFzzwUXicAm4","R. Cândida Ramos - Jardim Reimberg, São Paulo - SP, 04845-110, Brasil","Professor de música","5","41","5"
"Escola de musica: Academia Musical - Do Quarto aos Palcos","+55 11 99829-7681","https://wa.me/5511998297681","sem site","https://www.google.com/maps/search/?api=1&query=Escola%20de%20musica%3A%20Academia%20Musical%20-%20Do%20Quarto%20aos%20Palcos&query_place_id=ChIJTRBGlohhzpQRBhzGYoWjijM","R. Itinguçu, 1426 - Vila Ré, São Paulo - SP, 03664-000, Brasil","Escola de Música","5","39","137"
"Luthieria Peixe Branco Custom Shop","+55 11 99429-1639","https://wa.me/5511994291639","sem site","https://www.google.com/maps/search/?api=1&query=Luthieria%20Peixe%20Branco%20Custom%20Shop&query_place_id=ChIJScjDb_NFzpQR6KscMJ2l0A4","R. Prof. Cardozo de Melo Neto, 165 - Jardim Santa Terezinha, São Paulo - SP, 04474-180, Brasil","Loja de Instrumentos Musicais","4,9","37","49"
"Aulas de música - Felipe Lucena","+55 11 94680-1421","https://wa.me/5511946801421","sem site","https://www.google.com/maps/search/?api=1&query=Aulas%20de%20m%C3%BAsica%20-%20Felipe%20Lucena&query_place_id=ChIJwSlNSZJhzpQRXFhix1HOjrg","Rua Manaira, 19 - Jardim Danfer, São Paulo - SP, 03729-170, Brasil","Professor de violão","5","36","40"
"Sound Black","+55 11 97952-5084","https://wa.me/5511979525084","sem site","https://www.google.com/maps/search/?api=1&query=Sound%20Black&query_place_id=ChIJceaS70pSzpQRTJmSgiIHsf4","R. Armando Mas Leite, 62 - Jardim Avenida, São Paulo - SP, 05798-070, Brasil","Estúdio de gravação","4,9","32","43"
"Live Hit Produções","+55 11 97971-2120","https://wa.me/5511979712120","sem site","https://www.google.com/maps/search/?api=1&query=Live%20Hit%20Produ%C3%A7%C3%B5es&query_place_id=ChIJZWxx0KdfzpQRgOGsX_rhe4o","Rua Serra da Bocaina - Mooca, São Paulo - SP, 03174-000, Brasil","Estúdio de gravação","5","31","5"
"Star Black Produções","+55 11 95234-1161","https://wa.me/5511952341161","sem site","https://www.google.com/maps/search/?api=1&query=Star%20Black%20Produ%C3%A7%C3%B5es&query_place_id=ChIJ3Z5nzJz1zpQRwnn06iAHqCY","Praça Carlos Koseritz, 260 - Jardim Brasil, São Paulo - SP, 02161-025, Brasil","Estúdio de gravação","5","29","16"
"Atmosphera Studio","+55 11 99614-2916","https://wa.me/5511996142916","sem site","https://www.google.com/maps/search/?api=1&query=Atmosphera%20Studio&query_place_id=ChIJ830KAIhezpQRoLk86rLnp9o","R. Antônio de Barros, 2416 - Vila Carrão, São Paulo - SP, 03401-001, Brasil","Estúdio de gravação","4,9","27","103"
"Benes Classic Studios (Moving Sound Studio) BENES MUSIC","+55 11 98570-5220","https://wa.me/5511985705220","sem site","https://www.google.com/maps/search/?api=1&query=Benes%20Classic%20Studios%20(Moving%20Sound%20Studio)%20BENES%20MUSIC&query_place_id=ChIJuypA6LVgzpQRaZGbMx1w7pI","R. Pinhal, 106 - Cidade Patriarca, São Paulo - SP, 03564-040, Brasil","Estúdio de gravação","5","25","53"
"NZ Música","+55 11 98958-7610","https://wa.me/5511989587610","sem site","https://www.google.com/maps/search/?api=1&query=NZ%20M%C3%BAsica&query_place_id=ChIJYbuNnAL3zpQRcNNY0jUQVKg","Av. Tucuruvi, 135 - Conj 2 - Tucuruvi, São Paulo - SP, 02305-000, Brasil","Estúdio de gravação","4,6","25","12"
"Aulas de contrabaixo (Online e Presencial)","+55 11 98913-0773","https://wa.me/5511989130773","sem site","https://www.google.com/maps/search/?api=1&query=Aulas%20de%20contrabaixo%20(Online%20e%20Presencial)&query_place_id=ChIJWVWy8S77zpQRyYj9hWDiQFU","Travessa Caetano Filgueiras, 30 - Conj. Hab. Brg. Eduardo Gomes, São Paulo - SP, 02815-110, Brasil","Professor de música","5","25","5"
"Escola de Música SPACE HOME SCHOOL","+55 11 96448-0607","https://wa.me/5511964480607","sem site","https://www.google.com/maps/search/?api=1&query=Escola%20de%20M%C3%BAsica%20SPACE%20HOME%20SCHOOL&query_place_id=ChIJVUHersFhzpQRFvk1c8rG5LA","R. Flôr do Espírito Santo, 89 - Vila Jacuí, São Paulo - SP, 08050-080, Brasil","Estúdio de gravação","4,7","23","38"
"Escola de Música - Soul Academy Of Music","+55 11 99193-9877","https://wa.me/5511991939877","sem site","https://www.google.com/maps/search/?api=1&query=Escola%20de%20M%C3%BAsica%20-%20Soul%20Academy%20Of%20Music&query_place_id=ChIJEYF-NshPzpQRFcxOshu96Cw","Av. do Rio Bonito, 2080 - Sl 2 - Socorro, São Paulo - SP, 04776-003, Brasil","Escola de Música","5","23","35"
"Scala Centro Musical","+55 11 96338-7632","https://wa.me/5511963387632","sem site","https://www.google.com/maps/search/?api=1&query=Scala%20Centro%20Musical&query_place_id=ChIJ7T-EjCxfzpQRDUOrPqX-L6k","Rua Terebé, 25 - Vila Gomes Cardim, São Paulo - SP, 03311-030, Brasil","Escola de Música","4,2","22","5"
"Estúdio de Podcast - The Office Pinheiros","+55 11 96323-9464","https://wa.me/5511963239464","sem site","https://www.google.com/maps/search/?api=1&query=Est%C3%BAdio%20de%20Podcast%20-%20The%20Office%20Pinheiros&query_place_id=ChIJ261R_8dXzpQRIIVGcqmfYBU","R. Pais Leme, 215 - Sala 2011 - Pinheiros, São Paulo - SP, 05424-150, Brasil","Estúdio de gravação","5","21","12"
